station_pincode,station_zone,city,state
486207,WEST,Lucknow,Jharkhand
486209,SOUTH,Kanpur,Karnataka
486211,NORTH,Nagpur,Kerala
486213,CENTRAL,Indore,Madhya Pradesh
486215,EAST,Thane,Maharashtra
486217,WEST,Bhopal,Manipur
486219,SOUTH,Visakhapatnam,Meghalaya
486221,NORTH,Vadodara,Mizoram
486223,CENTRAL,Firozabad,Nagaland
486225,EAST,Ludhiana,Odisha
486227,WEST,Rajkot,Punjab
486229,SOUTH,Agra,Rajasthan
486231,NORTH,Siliguri,Sikkim
486233,CENTRAL,Nashik,Tamil Nadu
486235,EAST,Faridabad,Telangana
486237,WEST,Patna,Tripura
486239,SOUTH,Meerut,Uttar Pradesh
486241,NORTH,Kalyan-Dombivli,Uttarakhand
486243,CENTRAL,Vasai-Virar,West Bengal
486245,EAST,Varanasi,Andaman and Nicobar Islands
486247,WEST,Srinagar,Chandigarh
486249,SOUTH,Dhanbad,Dadra and Nagar Haveli and Daman and Diu
486251,NORTH,Jodhpur,Lakshadweep
486253,CENTRAL,Amritsar,Delhi
486255,EAST,Raipur,Puducherry
486257,WEST,Allahabad,Ladakh
486259,SOUTH,Coimbatore,Jammu and Kashmir
486261,NORTH,Jabalpur,Maharashtra
486263,CENTRAL,Gwalior,Delhi
486265,EAST,Vijayawada,Karnataka
486267,WEST,Madurai,Andhra Pradesh
486269,SOUTH,Guwahati,Arunachal Pradesh
486271,NORTH,Chandigarh,Assam
486273,CENTRAL,Hubli-Dharwad,Bihar
486275,EAST,Amroha,Chhattisgarh
486277,WEST,Moradabad,Goa
486279,SOUTH,Gurgaon,Gujarat
486281,NORTH,Aligarh,Haryana
486283,CENTRAL,Solapur,Himachal Pradesh
486285,EAST,Ranchi,Jharkhand
486287,WEST,Jalandhar,Karnataka
486289,SOUTH,Tiruchirappalli,Kerala
486291,NORTH,Bhubaneswar,Madhya Pradesh
486293,CENTRAL,Salem,Maharashtra
486295,EAST,Mysore,Manipur
486297,WEST,Thiruvananthapuram,Meghalaya
486299,SOUTH,Tiruppur,Mizoram
486301,NORTH,Gwalior,Nagaland
486303,CENTRAL,Chandrapur,Odisha
486305,EAST,Mumbai,Punjab
486307,WEST,Delhi,Rajasthan
486309,SOUTH,Bangalore,Sikkim
486311,NORTH,Hyderabad,Tamil Nadu
486313,CENTRAL,Ahmedabad,Telangana
486315,EAST,Chennai,Tripura
486317,WEST,Kolkata,Uttar Pradesh
486319,SOUTH,Surat,Uttarakhand
486321,NORTH,Pune,West Bengal
486323,CENTRAL,Jaipur,Andaman and Nicobar Islands
486325,EAST,Lucknow,Chandigarh
486327,WEST,Kanpur,Dadra and Nagar Haveli and Daman and Diu
486329,SOUTH,Nagpur,Lakshadweep
486331,NORTH,Indore,Delhi
486333,CENTRAL,Thane,Puducherry
486335,EAST,Bhopal,Ladakh
486337,WEST,Visakhapatnam,Jammu and Kashmir
486339,SOUTH,Vadodara,Maharashtra
486341,NORTH,Firozabad,Delhi
486343,CENTRAL,Ludhiana,Karnataka
486345,EAST,Rajkot,Andhra Pradesh
486347,WEST,Agra,Arunachal Pradesh
486349,SOUTH,Siliguri,Assam
486351,NORTH,Nashik,Bihar
486353,CENTRAL,Faridabad,Chhattisgarh
486355,EAST,Patna,Goa
486357,WEST,Meerut,Gujarat
486359,SOUTH,Kalyan-Dombivli,Haryana
486361,NORTH,Vasai-Virar,Himachal Pradesh
486363,CENTRAL,Varanasi,Jharkhand
486365,EAST,Srinagar,Karnataka
486367,WEST,Dhanbad,Kerala
486369,SOUTH,Jodhpur,Madhya Pradesh
486371,NORTH,Amritsar,Maharashtra
486373,CENTRAL,Raipur,Manipur
486375,EAST,Allahabad,Meghalaya
486377,WEST,Coimbatore,Mizoram
486379,SOUTH,Jabalpur,Nagaland
486381,NORTH,Gwalior,Odisha
486383,CENTRAL,Vijayawada,Punjab
486385,EAST,Madurai,Rajasthan
486387,WEST,Guwahati,Sikkim
486389,SOUTH,Chandigarh,Tamil Nadu
486391,NORTH,Hubli-Dharwad,Telangana
486393,CENTRAL,Amroha,Tripura
486395,EAST,Moradabad,Uttar Pradesh
486397,WEST,Gurgaon,Uttarakhand
486399,SOUTH,Aligarh,West Bengal
486401,NORTH,Solapur,Andaman and Nicobar Islands
486403,CENTRAL,Ranchi,Chandigarh
486405,EAST,Jalandhar,Dadra and Nagar Haveli and Daman and Diu
486407,WEST,Tiruchirappalli,Lakshadweep
486409,SOUTH,Bhubaneswar,Delhi
486411,NORTH,Salem,Puducherry
486413,CENTRAL,Mysore,Ladakh
486415,EAST,Thiruvananthapuram,Jammu and Kashmir
486417,WEST,Tiruppur,Maharashtra
486419,SOUTH,Gwalior,Delhi
486421,NORTH,Chandrapur,Karnataka
486423,CENTRAL,Mumbai,Andhra Pradesh
486425,EAST,Delhi,Arunachal Pradesh
486427,WEST,Bangalore,Assam
486429,SOUTH,Hyderabad,Bihar
486431,NORTH,Ahmedabad,Chhattisgarh
486433,CENTRAL,Chennai,Goa
486435,EAST,Kolkata,Gujarat
486437,WEST,Surat,Haryana
486439,SOUTH,Pune,Himachal Pradesh
486441,NORTH,Jaipur,Jharkhand
486443,CENTRAL,Lucknow,Karnataka
486445,EAST,Kanpur,Kerala
486447,WEST,Nagpur,Madhya Pradesh
486449,SOUTH,Indore,Maharashtra
486451,NORTH,Thane,Manipur
486453,CENTRAL,Bhopal,Meghalaya
486455,EAST,Visakhapatnam,Mizoram
486457,WEST,Vadodara,Nagaland
486459,SOUTH,Firozabad,Odisha
486461,NORTH,Ludhiana,Punjab
486463,CENTRAL,Rajkot,Rajasthan
486465,EAST,Agra,Sikkim
486467,WEST,Siliguri,Tamil Nadu
486469,SOUTH,Nashik,Telangana
486471,NORTH,Faridabad,Tripura
486473,CENTRAL,Patna,Uttar Pradesh
486475,EAST,Meerut,Uttarakhand
486477,WEST,Kalyan-Dombivli,West Bengal
486479,SOUTH,Vasai-Virar,Andaman and Nicobar Islands
486481,NORTH,Varanasi,Chandigarh
486483,CENTRAL,Srinagar,Dadra and Nagar Haveli and Daman and Diu
486485,EAST,Dhanbad,Lakshadweep
486487,WEST,Jodhpur,Delhi
486489,SOUTH,Amritsar,Puducherry
486491,NORTH,Raipur,Ladakh
486493,CENTRAL,Allahabad,Jammu and Kashmir
486495,EAST,Coimbatore,Maharashtra
486497,WEST,Jabalpur,Delhi
486499,SOUTH,Gwalior,Karnataka
486501,NORTH,Vijayawada,Andhra Pradesh
486503,CENTRAL,Madurai,Arunachal Pradesh
486505,EAST,Guwahati,Assam
486507,WEST,Chandigarh,Bihar
486509,SOUTH,Hubli-Dharwad,Chhattisgarh
486511,NORTH,Amroha,Goa
486513,CENTRAL,Moradabad,Gujarat
486515,EAST,Gurgaon,Haryana
486517,WEST,Aligarh,Himachal Pradesh
486519,SOUTH,Solapur,Jharkhand
486521,NORTH,Ranchi,Karnataka
486523,CENTRAL,Jalandhar,Kerala
486525,EAST,Tiruchirappalli,Madhya Pradesh
486527,WEST,Bhubaneswar,Maharashtra
486529,SOUTH,Salem,Manipur
486531,NORTH,Mysore,Meghalaya
486533,CENTRAL,Thiruvananthapuram,Mizoram
486535,EAST,Tiruppur,Nagaland
486537,WEST,Gwalior,Odisha
486539,SOUTH,Chandrapur,Punjab
486541,NORTH,Mumbai,Rajasthan
486543,CENTRAL,Delhi,Sikkim
486545,EAST,Bangalore,Tamil Nadu
486547,WEST,Hyderabad,Telangana
486549,SOUTH,Ahmedabad,Tripura
486551,NORTH,Chennai,Uttar Pradesh
486553,CENTRAL,Kolkata,Uttarakhand
486555,EAST,Surat,West Bengal
486557,WEST,Pune,Andaman and Nicobar Islands
486559,SOUTH,Jaipur,Chandigarh
486561,NORTH,Lucknow,Dadra and Nagar Haveli and Daman and Diu
486563,CENTRAL,Kanpur,Lakshadweep
486565,EAST,Nagpur,Delhi
486567,WEST,Indore,Puducherry
486569,SOUTH,Thane,Ladakh
486571,NORTH,Bhopal,Jammu and Kashmir
486573,CENTRAL,Visakhapatnam,Maharashtra
486575,EAST,Vadodara,Delhi
486577,WEST,Firozabad,Karnataka
486579,SOUTH,Ludhiana,Andhra Pradesh
486581,NORTH,Rajkot,Arunachal Pradesh
486583,CENTRAL,Agra,Assam
486585,EAST,Siliguri,Bihar
486587,WEST,Nashik,Chhattisgarh
486589,SOUTH,Faridabad,Goa
486591,NORTH,Patna,Gujarat
486593,CENTRAL,Meerut,Haryana
486595,EAST,Kalyan-Dombivli,Himachal Pradesh
486597,WEST,Vasai-Virar,Jharkhand
486599,SOUTH,Varanasi,Karnataka
486601,NORTH,Srinagar,Kerala
486603,CENTRAL,Dhanbad,Madhya Pradesh
486605,EAST,Jodhpur,Maharashtra
486607,WEST,Amritsar,Manipur
486609,SOUTH,Raipur,Meghalaya
486611,NORTH,Allahabad,Mizoram
486613,CENTRAL,Coimbatore,Nagaland
486615,EAST,Jabalpur,Odisha
486617,WEST,Gwalior,Punjab
486619,SOUTH,Vijayawada,Rajasthan
486621,NORTH,Madurai,Sikkim
486623,CENTRAL,Guwahati,Tamil Nadu
486625,EAST,Chandigarh,Telangana
486627,WEST,Hubli-Dharwad,Tripura
486629,SOUTH,Amroha,Uttar Pradesh
486631,NORTH,Moradabad,Uttarakhand
486633,CENTRAL,Gurgaon,West Bengal
486635,EAST,Aligarh,Andaman and Nicobar Islands
486637,WEST,Solapur,Chandigarh
486639,SOUTH,Ranchi,Dadra and Nagar Haveli and Daman and Diu
486641,NORTH,Jalandhar,Lakshadweep
486643,CENTRAL,Tiruchirappalli,Delhi
486645,EAST,Bhubaneswar,Puducherry
486647,WEST,Salem,Ladakh
486649,SOUTH,Mysore,Jammu and Kashmir
486651,NORTH,Thiruvananthapuram,Maharashtra
486653,CENTRAL,Tiruppur,Delhi
486655,EAST,Gwalior,Karnataka
486657,WEST,Chandrapur,Andhra Pradesh
486659,SOUTH,Mumbai,Arunachal Pradesh
486661,NORTH,Delhi,Assam
486663,CENTRAL,Bangalore,Bihar
486665,EAST,Hyderabad,Chhattisgarh
486667,WEST,Ahmedabad,Goa
486669,SOUTH,Chennai,Gujarat
486671,NORTH,Kolkata,Haryana
486673,CENTRAL,Surat,Himachal Pradesh
486675,EAST,Pune,Jharkhand
486677,WEST,Jaipur,Karnataka
486679,SOUTH,Lucknow,Kerala
486681,NORTH,Kanpur,Madhya Pradesh
486683,CENTRAL,Nagpur,Maharashtra
486685,EAST,Indore,Manipur
486687,WEST,Thane,Meghalaya
486689,SOUTH,Bhopal,Mizoram
486691,NORTH,Visakhapatnam,Nagaland
486693,CENTRAL,Vadodara,Odisha
486695,EAST,Firozabad,Punjab
486697,WEST,Ludhiana,Rajasthan
486699,SOUTH,Rajkot,Sikkim
486701,NORTH,Agra,Tamil Nadu
486703,CENTRAL,Siliguri,Telangana
486705,EAST,Nashik,Tripura
486707,WEST,Faridabad,Uttar Pradesh
486709,SOUTH,Patna,Uttarakhand
486711,NORTH,Meerut,West Bengal
486713,CENTRAL,Kalyan-Dombivli,Andaman and Nicobar Islands
486715,EAST,Vasai-Virar,Chandigarh
486717,WEST,Varanasi,Dadra and Nagar Haveli and Daman and Diu
486719,SOUTH,Srinagar,Lakshadweep
486721,NORTH,Dhanbad,Delhi
486723,CENTRAL,Jodhpur,Puducherry
486725,EAST,Amritsar,Ladakh
486727,WEST,Raipur,Jammu and Kashmir
486729,SOUTH,Allahabad,Maharashtra
486731,NORTH,Coimbatore,Delhi
486733,CENTRAL,Jabalpur,Karnataka
486735,EAST,Gwalior,Andhra Pradesh
486737,WEST,Vijayawada,Arunachal Pradesh
486739,SOUTH,Madurai,Assam
486741,NORTH,Guwahati,Bihar
486743,CENTRAL,Chandigarh,Chhattisgarh
486745,EAST,Hubli-Dharwad,Goa
486747,WEST,Amroha,Gujarat
486749,SOUTH,Moradabad,Haryana
486751,NORTH,Gurgaon,Himachal Pradesh
486753,CENTRAL,Aligarh,Jharkhand
486755,EAST,Solapur,Karnataka
486757,WEST,Ranchi,Kerala
486759,SOUTH,Jalandhar,Madhya Pradesh
486761,NORTH,Tiruchirappalli,Maharashtra
486763,CENTRAL,Bhubaneswar,Manipur
486765,EAST,Salem,Meghalaya
486767,WEST,Mysore,Mizoram
486769,SOUTH,Thiruvananthapuram,Nagaland
486771,NORTH,Tiruppur,Odisha
486773,CENTRAL,Gwalior,Punjab
486775,EAST,Chandrapur,Rajasthan
486777,WEST,Mumbai,Sikkim
486779,SOUTH,Delhi,Tamil Nadu
486781,NORTH,Bangalore,Telangana
486783,CENTRAL,Hyderabad,Tripura
486785,EAST,Ahmedabad,Uttar Pradesh
486787,WEST,Chennai,Uttarakhand
486789,SOUTH,Kolkata,West Bengal
486791,NORTH,Surat,Andaman and Nicobar Islands
486793,CENTRAL,Pune,Chandigarh
486795,EAST,Jaipur,Dadra and Nagar Haveli and Daman and Diu
486797,WEST,Lucknow,Lakshadweep
486799,SOUTH,Kanpur,Delhi
486801,NORTH,Nagpur,Puducherry
486803,CENTRAL,Indore,Ladakh
486805,EAST,Thane,Jammu and Kashmir
486807,WEST,Bhopal,Maharashtra
486809,SOUTH,Visakhapatnam,Delhi
486811,NORTH,Vadodara,Karnataka
486813,CENTRAL,Firozabad,Andhra Pradesh
486815,EAST,Ludhiana,Arunachal Pradesh
486817,WEST,Rajkot,Assam
486819,SOUTH,Agra,Bihar
486821,NORTH,Siliguri,Chhattisgarh
486823,CENTRAL,Nashik,Goa
486825,EAST,Faridabad,Gujarat
486827,WEST,Patna,Haryana
486829,SOUTH,Meerut,Himachal Pradesh
486831,NORTH,Kalyan-Dombivli,Jharkhand
486833,CENTRAL,Vasai-Virar,Karnataka
486835,EAST,Varanasi,Kerala
486837,WEST,Srinagar,Madhya Pradesh
486839,SOUTH,Dhanbad,Maharashtra
486841,NORTH,Jodhpur,Manipur
486843,CENTRAL,Amritsar,Meghalaya
486845,EAST,Raipur,Mizoram
486847,WEST,Allahabad,Nagaland
486849,SOUTH,Coimbatore,Odisha
486851,NORTH,Jabalpur,Punjab
486853,CENTRAL,Gwalior,Rajasthan
486855,EAST,Vijayawada,Sikkim
486857,WEST,Madurai,Tamil Nadu
486859,SOUTH,Guwahati,Telangana
486861,NORTH,Chandigarh,Tripura
486863,CENTRAL,Hubli-Dharwad,Uttar Pradesh
486865,EAST,Amroha,Uttarakhand
486867,WEST,Moradabad,West Bengal
486869,SOUTH,Gurgaon,Andaman and Nicobar Islands
486871,NORTH,Aligarh,Chandigarh
486873,CENTRAL,Solapur,Dadra and Nagar Haveli and Daman and Diu
486875,EAST,Ranchi,Lakshadweep
486877,WEST,Jalandhar,Delhi
486879,SOUTH,Tiruchirappalli,Puducherry
486881,NORTH,Bhubaneswar,Ladakh
486883,CENTRAL,Salem,Jammu and Kashmir
486885,EAST,Mysore,Maharashtra
486887,WEST,Thiruvananthapuram,Delhi
486889,SOUTH,Tiruppur,Karnataka
486891,NORTH,Gwalior,Andhra Pradesh
486893,CENTRAL,Chandrapur,Arunachal Pradesh
486895,EAST,Mumbai,Assam
486897,WEST,Delhi,Bihar
486899,SOUTH,Bangalore,Chhattisgarh
486901,NORTH,Hyderabad,Goa
486903,CENTRAL,Ahmedabad,Gujarat
486905,EAST,Chennai,Haryana
486907,WEST,Kolkata,Himachal Pradesh
486909,SOUTH,Surat,Jharkhand
486911,NORTH,Pune,Karnataka
486913,CENTRAL,Jaipur,Kerala
486915,EAST,Lucknow,Madhya Pradesh
486917,WEST,Kanpur,Maharashtra
486919,SOUTH,Nagpur,Manipur
486921,NORTH,Indore,Meghalaya
486923,CENTRAL,Thane,Mizoram
486925,EAST,Bhopal,Nagaland
486927,WEST,Visakhapatnam,Odisha
486929,SOUTH,Vadodara,Punjab
486931,NORTH,Firozabad,Rajasthan
486933,CENTRAL,Ludhiana,Sikkim
486935,EAST,Rajkot,Tamil Nadu
486937,WEST,Agra,Telangana
486939,SOUTH,Siliguri,Tripura
486941,NORTH,Nashik,Uttar Pradesh
486943,CENTRAL,Faridabad,Uttarakhand
486945,EAST,Patna,West Bengal
486947,WEST,Meerut,Andaman and Nicobar Islands
486949,SOUTH,Kalyan-Dombivli,Chandigarh
486951,NORTH,Vasai-Virar,Dadra and Nagar Haveli and Daman and Diu
486953,CENTRAL,Varanasi,Lakshadweep
486955,EAST,Srinagar,Delhi
486957,WEST,Dhanbad,Puducherry
486959,SOUTH,Jodhpur,Ladakh
486961,NORTH,Amritsar,Jammu and Kashmir
486963,CENTRAL,Raipur,Maharashtra
486965,EAST,Allahabad,Delhi
486967,WEST,Coimbatore,Karnataka
486969,SOUTH,Jabalpur,Andhra Pradesh
486971,NORTH,Gwalior,Arunachal Pradesh
486973,CENTRAL,Vijayawada,Assam
486975,EAST,Madurai,Bihar
486977,WEST,Guwahati,Chhattisgarh
486979,SOUTH,Chandigarh,Goa
486981,NORTH,Hubli-Dharwad,Gujarat
486983,CENTRAL,Amroha,Haryana
486985,EAST,Moradabad,Himachal Pradesh
486987,WEST,Gurgaon,Jharkhand
486989,SOUTH,Aligarh,Karnataka
486991,NORTH,Solapur,Kerala
