police_station_id,station_name,police_staff,inspector_id,station_pincode,no_of_cases
T1-103582,ST-366,36,SI-12911,486443,775
T1-103583,ST-367,17,SI-12912,486445,777
T1-103584,ST-368,25,SI-12913,486447,779
T1-103585,ST-369,29,SI-12914,486449,781
T1-103586,ST-370,23,SI-12915,486451,783
T1-103587,ST-371,18,SI-12916,486453,785
T1-103588,ST-372,31,SI-12917,486455,787
T1-103589,ST-373,20,SI-12918,486457,789
T1-103590,ST-374,27,SI-12919,486459,791
T1-103591,ST-375,35,SI-12920,486461,793
T1-103592,ST-376,29,SI-12921,486463,795
T1-103593,ST-377,33,SI-12922,486465,797
T1-103594,ST-378,37,SI-12923,486467,799
T1-103595,ST-379,20,SI-12924,486469,801
T1-103596,ST-380,39,SI-12925,486471,803
T1-103597,ST-381,34,SI-12926,486473,805
T1-103598,ST-382,39,SI-12927,486475,807
T1-103599,ST-383,35,SI-12928,486477,809
T1-103600,ST-384,19,SI-12929,486479,811
T1-103601,ST-385,31,SI-12930,486481,813
T1-103602,ST-386,40,SI-12931,486483,815
T1-103603,ST-387,19,SI-12932,486485,817
T1-103604,ST-388,15,SI-12933,486487,819
T1-103605,ST-389,15,SI-12934,486489,821
T1-103606,ST-390,28,SI-12935,486491,823
T1-103607,ST-391,38,SI-12936,486493,825
T1-103608,ST-392,27,SI-12937,486495,827
T1-103609,ST-393,14,SI-12938,486497,829
T1-103610,ST-394,34,SI-12939,486499,831
T1-103611,ST-395,16,SI-12940,486501,833
T1-103612,ST-396,31,SI-12941,486503,835
T1-103613,ST-397,38,SI-12942,486505,837
T1-103614,ST-398,37,SI-12943,486507,839
T1-103615,ST-399,25,SI-12944,486509,841
T1-103616,ST-400,26,SI-12945,486511,843
T1-103617,ST-401,27,SI-12946,486513,845
T1-103618,ST-402,26,SI-12947,486515,847
T1-103619,ST-403,39,SI-12948,486517,849
T1-103620,ST-404,36,SI-12949,486519,851
T1-103621,ST-405,14,SI-12950,486521,853
T1-103622,ST-406,35,SI-12951,486523,855
T1-103623,ST-407,18,SI-12952,486525,857
T1-103624,ST-408,29,SI-12953,486527,859
T1-103625,ST-409,35,SI-12954,486529,861
T1-103626,ST-410,31,SI-12955,486531,863
T1-103627,ST-411,19,SI-12956,486533,865
T1-103628,ST-412,20,SI-12957,486535,867
T1-103629,ST-413,28,SI-12958,486537,869
T1-103630,ST-414,40,SI-12959,486539,871
T1-103631,ST-415,38,SI-12960,486541,873
T1-103632,ST-416,29,SI-12961,486543,875
T1-103633,ST-417,20,SI-12962,486545,877
T1-103634,ST-418,25,SI-12963,486547,879
T1-103635,ST-419,24,SI-12964,486549,881
T1-103636,ST-420,24,SI-12965,486551,883
T1-103637,ST-421,40,SI-12966,486553,885
T1-103638,ST-422,36,SI-12967,486555,887
T1-103639,ST-423,34,SI-12968,486557,889
T1-103640,ST-424,23,SI-12969,486559,891
T1-103641,ST-425,16,SI-12970,486561,893
T1-103642,ST-426,36,SI-12971,486563,895
T1-103643,ST-427,23,SI-12972,486565,897
T1-103644,ST-428,29,SI-12973,486567,899
T1-103645,ST-429,23,SI-12974,486569,901
T1-103646,ST-430,14,SI-12975,486571,903
T1-103647,ST-431,25,SI-12976,486573,905
T1-103648,ST-432,28,SI-12977,486575,907
T1-103649,ST-433,37,SI-12978,486577,909
T1-103650,ST-434,30,SI-12979,486579,911
T1-103651,ST-435,25,SI-12980,486581,913
T1-103652,ST-436,17,SI-12981,486583,915
T1-103653,ST-437,15,SI-12982,486585,917
T1-103654,ST-438,21,SI-12983,486587,919
T1-103655,ST-439,33,SI-12984,486589,921
T1-103656,ST-440,40,SI-12985,486591,923
T1-103657,ST-441,38,SI-12986,486593,925
T1-103658,ST-442,35,SI-12987,486595,927
T1-103659,ST-443,35,SI-12988,486597,929
T1-103660,ST-444,37,SI-12989,486599,931
T1-103661,ST-445,26,SI-12990,486601,933
T1-103662,ST-446,16,SI-12991,486603,935
T1-103663,ST-447,36,SI-12992,486605,937
T1-103664,ST-448,19,SI-12993,486607,939
T1-103665,ST-449,39,SI-12994,486609,941
T1-103666,ST-450,37,SI-12995,486611,943
T1-103667,ST-451,27,SI-12996,486613,945
T1-103668,ST-452,32,SI-12997,486615,947
T1-103669,ST-453,34,SI-12998,486617,949
T1-103670,ST-454,21,SI-12999,486619,951
T1-103671,ST-455,35,SI-13000,486621,953
T1-103672,ST-456,33,SI-13001,486623,955
T1-103673,ST-457,21,SI-13002,486625,957
T1-103674,ST-458,21,SI-13003,486627,959
T1-103675,ST-459,13,SI-13004,486629,961
T1-103676,ST-460,36,SI-13005,486631,963
T1-103677,ST-461,25,SI-13006,486633,965
T1-103678,ST-462,39,SI-13007,486635,967
T1-103679,ST-463,25,SI-13008,486637,969
T1-103680,ST-464,23,SI-13009,486639,971
T1-103681,ST-465,26,SI-13010,486641,973
T1-103682,ST-466,40,SI-13011,486643,975
T1-103683,ST-467,24,SI-13012,486645,977
T1-103684,ST-468,20,SI-13013,486647,979
T1-103685,ST-469,30,SI-13014,486649,981
T1-103686,ST-470,27,SI-13015,486651,983
T1-103687,ST-471,12,SI-13016,486653,985
T1-103688,ST-472,30,SI-13017,486655,987
T1-103689,ST-473,21,SI-13018,486657,989
T1-103690,ST-474,35,SI-13019,486659,991
T1-103691,ST-475,33,SI-13020,486661,993
T1-103692,ST-476,13,SI-13021,486663,995
T1-103693,ST-477,13,SI-13022,486665,997
T1-103694,ST-478,19,SI-13023,486667,999
T1-103695,ST-479,34,SI-13024,486669,1001
T1-103696,ST-480,37,SI-13025,486671,1003
T1-103697,ST-481,13,SI-13026,486673,1005
T1-103698,ST-482,38,SI-13027,486675,1007
T1-103699,ST-483,33,SI-13028,486677,1009
T1-103700,ST-484,36,SI-13029,486679,1011
T1-103701,ST-485,31,SI-13030,486681,1013
T1-103702,ST-486,21,SI-13031,486683,1015
T1-103703,ST-487,13,SI-13032,486685,1017
T1-103704,ST-488,38,SI-13033,486687,1019
T1-103705,ST-489,37,SI-13034,486689,1021
T1-103706,ST-490,23,SI-13035,486691,1023
T1-103707,ST-491,15,SI-13036,486693,1025
T1-103708,ST-492,13,SI-13037,486695,1027
T1-103709,ST-493,34,SI-13038,486697,1029
T1-103710,ST-494,14,SI-13039,486699,1031
T1-103711,ST-495,40,SI-13040,486701,1033
T1-103712,ST-496,15,SI-13041,486703,1035
T1-103713,ST-497,25,SI-13042,486705,1037
T1-103714,ST-498,21,SI-13043,486707,1039
T1-103715,ST-499,39,SI-13044,486709,1041
T1-103716,ST-500,27,SI-13045,486711,1043
T1-103717,ST-501,17,SI-13046,486713,1045
T1-103718,ST-502,17,SI-13047,486715,1047
T1-103719,ST-503,36,SI-13048,486717,1049
T1-103720,ST-504,34,SI-13049,486719,1051
T1-103721,ST-505,18,SI-13050,486721,1053
T1-103722,ST-506,15,SI-13051,486723,1055
T1-103723,ST-507,18,SI-13052,486725,1057
T1-103724,ST-508,30,SI-13053,486727,1059
T1-103725,ST-509,28,SI-13054,486729,1061
T1-103726,ST-510,38,SI-13055,486731,1063
T1-103727,ST-511,33,SI-13056,486733,1065
T1-103728,ST-512,37,SI-13057,486735,1067
T1-103729,ST-513,33,SI-13058,486737,1069
T1-103730,ST-514,19,SI-13059,486739,1071
T1-103731,ST-515,29,SI-13060,486741,1073
T1-103732,ST-516,40,SI-13061,486743,1075
T1-103733,ST-517,15,SI-13062,486745,1077
T1-103734,ST-518,22,SI-13063,486747,1079
T1-103735,ST-519,36,SI-13064,486749,1081
T1-103736,ST-520,21,SI-13065,486751,1083
T1-103737,ST-521,16,SI-13066,486753,1085
T1-103738,ST-522,31,SI-13067,486755,1087
T1-103739,ST-523,39,SI-13068,486757,1089
T1-103740,ST-524,23,SI-13069,486759,1091
T1-103741,ST-525,30,SI-13070,486761,1093
T1-103742,ST-526,19,SI-13071,486763,1095
T1-103743,ST-527,19,SI-13072,486765,1097
T1-103744,ST-528,22,SI-13073,486767,1099
T1-103745,ST-529,26,SI-13074,486769,1101
T1-103746,ST-530,28,SI-13075,486771,1103
T1-103747,ST-531,29,SI-13076,486773,1105
T1-103748,ST-532,25,SI-13077,486775,1107
T1-103749,ST-533,37,SI-13078,486777,1109
T1-103750,ST-534,38,SI-13079,486779,1111
T1-103751,ST-535,25,SI-13080,486781,1113
T1-103752,ST-536,16,SI-13081,486783,1115
T1-103753,ST-537,22,SI-13082,486785,1117
T1-103754,ST-538,39,SI-13083,486787,1119
T1-103755,ST-539,16,SI-13084,486789,1121
T1-103756,ST-540,13,SI-13085,486791,1123
T1-103757,ST-541,26,SI-13086,486793,1125
T1-103758,ST-542,32,SI-13087,486795,1127
T1-103759,ST-543,20,SI-13088,486797,1129
T1-103760,ST-544,15,SI-13089,486799,1131
T1-103761,ST-545,15,SI-13090,486801,1133
T1-103762,ST-546,26,SI-13091,486803,1135
T1-103763,ST-547,27,SI-13092,486805,1137
T1-103764,ST-548,31,SI-13093,486807,1139
T1-103765,ST-549,18,SI-13094,486809,1141
T1-103766,ST-550,27,SI-13095,486811,1143
T1-103767,ST-551,35,SI-13096,486813,1145
T1-103768,ST-552,13,SI-13097,486815,1147
T1-103769,ST-553,30,SI-13098,486817,1149
T1-103770,ST-554,31,SI-13099,486819,1151
T1-103771,ST-555,12,SI-13100,486821,1153
T1-103772,ST-556,12,SI-13101,486823,1155
T1-103773,ST-557,26,SI-13102,486825,1157
T1-103774,ST-558,35,SI-13103,486827,1159
T1-103775,ST-559,18,SI-13104,486829,1161
T1-103776,ST-560,24,SI-13105,486831,1163
T1-103777,ST-561,24,SI-13106,486833,1165
T1-103778,ST-562,34,SI-13107,486835,1167
T1-103779,ST-563,38,SI-13108,486837,1169
T1-103780,ST-564,12,SI-13109,486839,1171
T1-103781,ST-565,16,SI-13110,486841,1173
T1-103782,ST-566,39,SI-13111,486843,1175
T1-103783,ST-567,20,SI-13112,486845,1177
T1-103784,ST-568,40,SI-13113,486847,1179
T1-103785,ST-569,26,SI-13114,486849,1181
T1-103786,ST-570,39,SI-13115,486851,1183
T1-103787,ST-571,35,SI-13116,486853,1185
T1-103788,ST-572,14,SI-13117,486855,1187
T1-103789,ST-573,34,SI-13118,486857,1189
T1-103790,ST-574,37,SI-13119,486859,1191
T1-103791,ST-575,14,SI-13120,486861,1193
T1-103792,ST-576,20,SI-13121,486863,1195
T1-103793,ST-577,16,SI-13122,486865,1197
