max_case_type,min_cases_type,no_of_cases,avg_solving_day
cybercrime,marriage affairs,265,9
sedition,Divorce,267,15
Property dispute,Fraud,269,15
Fraud,riots,271,8
riots,claims of negligence,273,13
marriage affairs,dowry demands,275,13
Divorce,robbery,277,9
claims of negligence,unfair dismissal,279,9
appeal against HR,discrimination,281,5
Workplace harassment,appeal against HR,283,7
Murder,Workplace harassment,285,13
robbery,Murder,287,3
dowry demands,theft,289,4
robbery,cybercrime,291,15
unfair dismissal,sedition,293,14
theft,Property dispute,295,8
cybercrime,marriage affairs,297,3
sedition,Divorce,299,7
Property dispute,Fraud,301,15
Fraud,riots,303,12
riots,claims of negligence,305,4
marriage affairs,dowry demands,307,14
Divorce,robbery,309,3
claims of negligence,unfair dismissal,311,5
appeal against HR,discrimination,313,13
Workplace harassment,appeal against HR,315,13
Murder,Workplace harassment,317,3
robbery,Murder,319,5
dowry demands,theft,321,10
robbery,cybercrime,323,13
unfair dismissal,sedition,325,8
theft,Property dispute,327,6
cybercrime,marriage affairs,329,7
sedition,Divorce,331,9
Property dispute,Fraud,333,7
Fraud,riots,335,6
riots,claims of negligence,337,7
marriage affairs,dowry demands,339,12
Divorce,robbery,341,7
claims of negligence,unfair dismissal,343,11
appeal against HR,discrimination,345,15
Workplace harassment,appeal against HR,347,3
Murder,Workplace harassment,349,5
robbery,Murder,351,15
dowry demands,theft,353,4
robbery,cybercrime,355,4
unfair dismissal,sedition,357,14
theft,Property dispute,359,13
cybercrime,marriage affairs,361,5
sedition,Divorce,363,9
Property dispute,Fraud,365,8
Fraud,riots,367,15
riots,claims of negligence,369,15
marriage affairs,dowry demands,371,8
Divorce,robbery,373,4
claims of negligence,unfair dismissal,375,7
appeal against HR,discrimination,377,14
Workplace harassment,appeal against HR,379,7
Murder,Workplace harassment,381,6
robbery,Murder,383,12
dowry demands,theft,385,7
robbery,cybercrime,387,10
unfair dismissal,sedition,389,13
theft,Property dispute,391,15
cybercrime,marriage affairs,393,12
sedition,Divorce,395,10
Property dispute,Fraud,397,3
Fraud,riots,399,11
riots,claims of negligence,401,7
marriage affairs,dowry demands,403,3
Divorce,robbery,405,3
claims of negligence,unfair dismissal,407,7
appeal against HR,discrimination,409,9
Workplace harassment,appeal against HR,411,6
Murder,Workplace harassment,413,6
robbery,Murder,415,15
dowry demands,theft,417,9
robbery,cybercrime,419,8
unfair dismissal,sedition,421,8
theft,Property dispute,423,10
cybercrime,marriage affairs,425,12
sedition,Divorce,427,10
Property dispute,Fraud,429,7
Fraud,riots,431,11
riots,claims of negligence,433,10
marriage affairs,dowry demands,435,14
Divorce,robbery,437,15
claims of negligence,unfair dismissal,439,11
appeal against HR,discrimination,441,6
Workplace harassment,appeal against HR,443,9
Murder,Workplace harassment,445,7
robbery,Murder,447,15
dowry demands,theft,449,8
robbery,cybercrime,451,13
unfair dismissal,sedition,453,5
theft,Property dispute,455,6
cybercrime,marriage affairs,457,12
sedition,Divorce,459,11
Property dispute,Fraud,461,6
Fraud,riots,463,6
riots,claims of negligence,465,3
marriage affairs,dowry demands,467,11
Divorce,robbery,469,12
claims of negligence,unfair dismissal,471,12
appeal against HR,discrimination,473,3
Workplace harassment,appeal against HR,475,9
Murder,Workplace harassment,477,8
robbery,Murder,479,14
dowry demands,theft,481,12
robbery,cybercrime,483,7
unfair dismissal,sedition,485,13
theft,Property dispute,487,15
cybercrime,marriage affairs,489,11
sedition,Divorce,491,8
Property dispute,Fraud,493,12
Fraud,riots,495,9
riots,claims of negligence,497,10
marriage affairs,dowry demands,499,11
Divorce,robbery,501,14
claims of negligence,unfair dismissal,503,10
appeal against HR,discrimination,505,14
Workplace harassment,appeal against HR,507,11
Murder,Workplace harassment,509,9
robbery,Murder,511,14
dowry demands,theft,513,15
robbery,cybercrime,515,4
unfair dismissal,sedition,517,3
theft,Property dispute,519,9
cybercrime,marriage affairs,521,10
sedition,Divorce,523,6
Property dispute,Fraud,525,6
Fraud,riots,527,14
riots,claims of negligence,529,8
marriage affairs,dowry demands,531,6
Divorce,robbery,533,13
claims of negligence,unfair dismissal,535,15
appeal against HR,discrimination,537,12
Workplace harassment,appeal against HR,539,9
Murder,Workplace harassment,541,14
robbery,Murder,543,6
dowry demands,theft,545,3
robbery,cybercrime,547,9
unfair dismissal,sedition,549,14
theft,Property dispute,551,3
cybercrime,marriage affairs,553,9
sedition,Divorce,555,11
Property dispute,Fraud,557,10
Fraud,riots,559,14
riots,claims of negligence,561,12
marriage affairs,dowry demands,563,8
Divorce,robbery,565,11
claims of negligence,unfair dismissal,567,4
appeal against HR,discrimination,569,14
Workplace harassment,appeal against HR,571,12
Murder,Workplace harassment,573,14
robbery,Murder,575,6
dowry demands,theft,577,8
robbery,cybercrime,579,15
unfair dismissal,sedition,581,3
theft,Property dispute,583,6
cybercrime,marriage affairs,585,3
sedition,Divorce,587,3
Property dispute,Fraud,589,12
Fraud,riots,591,11
riots,claims of negligence,593,10
marriage affairs,dowry demands,595,12
Divorce,robbery,597,9
claims of negligence,unfair dismissal,599,12
appeal against HR,discrimination,601,14
Workplace harassment,appeal against HR,603,4
Murder,Workplace harassment,605,13
robbery,Murder,607,15
dowry demands,theft,609,10
robbery,cybercrime,611,12
unfair dismissal,sedition,613,8
theft,Property dispute,615,10
cybercrime,marriage affairs,617,7
sedition,Divorce,619,3
Property dispute,Fraud,621,3
Fraud,riots,623,14
riots,claims of negligence,625,10
marriage affairs,dowry demands,627,9
Divorce,robbery,629,7
claims of negligence,unfair dismissal,631,9
appeal against HR,discrimination,633,11
Workplace harassment,appeal against HR,635,13
Murder,Workplace harassment,637,13
robbery,Murder,639,6
dowry demands,theft,641,10
robbery,cybercrime,643,9
unfair dismissal,sedition,645,14
theft,Property dispute,647,14
cybercrime,marriage affairs,649,12
sedition,Divorce,651,10
Property dispute,Fraud,653,6
Fraud,riots,655,5
riots,claims of negligence,657,3
marriage affairs,dowry demands,659,5
Divorce,robbery,661,9
claims of negligence,unfair dismissal,663,14
appeal against HR,discrimination,665,14
Workplace harassment,appeal against HR,667,7
Murder,Workplace harassment,669,8
robbery,Murder,671,12
dowry demands,theft,673,9
robbery,cybercrime,675,9
unfair dismissal,sedition,677,7
theft,Property dispute,679,13
cybercrime,marriage affairs,681,9
sedition,Divorce,683,14
Property dispute,Fraud,685,7
Fraud,riots,687,10
riots,claims of negligence,689,10
marriage affairs,dowry demands,691,13
Divorce,robbery,693,7
claims of negligence,unfair dismissal,695,6
appeal against HR,discrimination,697,15
Workplace harassment,appeal against HR,699,15
Murder,Workplace harassment,701,3
robbery,Murder,703,11
dowry demands,theft,705,5
robbery,cybercrime,707,7
unfair dismissal,sedition,709,9
theft,Property dispute,711,13
cybercrime,marriage affairs,713,13
sedition,Divorce,715,13
Property dispute,Fraud,717,15
Fraud,riots,719,15
riots,claims of negligence,721,3
marriage affairs,dowry demands,723,9
Divorce,robbery,725,11
claims of negligence,unfair dismissal,727,11
appeal against HR,discrimination,729,9
Workplace harassment,appeal against HR,731,14
Murder,Workplace harassment,733,4
robbery,Murder,735,7
dowry demands,theft,737,8
robbery,cybercrime,739,9
unfair dismissal,sedition,741,8
theft,Property dispute,743,4
cybercrime,marriage affairs,745,3
sedition,Divorce,747,7
Property dispute,Fraud,749,14
Fraud,riots,751,12
riots,claims of negligence,753,3
marriage affairs,dowry demands,755,7
Divorce,robbery,757,3
claims of negligence,unfair dismissal,759,10
appeal against HR,discrimination,761,4
Workplace harassment,appeal against HR,763,12
Murder,Workplace harassment,765,12
robbery,Murder,767,10
dowry demands,theft,769,15
robbery,cybercrime,771,8
unfair dismissal,sedition,773,15
theft,Property dispute,775,10
cybercrime,marriage affairs,777,13
sedition,Divorce,779,4
Property dispute,Fraud,781,5
Fraud,riots,783,5
riots,claims of negligence,785,12
marriage affairs,dowry demands,787,14
Divorce,robbery,789,14
claims of negligence,unfair dismissal,791,9
appeal against HR,discrimination,793,13
Workplace harassment,appeal against HR,795,11
Murder,Workplace harassment,797,14
robbery,Murder,799,13
dowry demands,theft,801,3
robbery,cybercrime,803,3
unfair dismissal,sedition,805,14
theft,Property dispute,807,13
cybercrime,marriage affairs,809,3
sedition,Divorce,811,15
Property dispute,Fraud,813,6
Fraud,riots,815,3
riots,claims of negligence,817,3
marriage affairs,dowry demands,819,11
Divorce,robbery,821,12
claims of negligence,unfair dismissal,823,5
appeal against HR,discrimination,825,6
Workplace harassment,appeal against HR,827,5
Murder,Workplace harassment,829,10
robbery,Murder,831,14
dowry demands,theft,833,3
robbery,cybercrime,835,8
unfair dismissal,sedition,837,8
theft,Property dispute,839,12
cybercrime,marriage affairs,841,3
sedition,Divorce,843,3
Property dispute,Fraud,845,4
Fraud,riots,847,7
riots,claims of negligence,849,5
marriage affairs,dowry demands,851,5
Divorce,robbery,853,5
claims of negligence,unfair dismissal,855,4
appeal against HR,discrimination,857,9
Workplace harassment,appeal against HR,859,14
Murder,Workplace harassment,861,6
robbery,Murder,863,9
dowry demands,theft,865,5
robbery,cybercrime,867,9
unfair dismissal,sedition,869,5
theft,Property dispute,871,3
cybercrime,marriage affairs,873,6
sedition,Divorce,875,5
Property dispute,Fraud,877,4
Fraud,riots,879,3
riots,claims of negligence,881,12
marriage affairs,dowry demands,883,4
Divorce,robbery,885,6
claims of negligence,unfair dismissal,887,12
appeal against HR,discrimination,889,6
Workplace harassment,appeal against HR,891,14
Murder,Workplace harassment,893,6
robbery,Murder,895,10
dowry demands,theft,897,14
robbery,cybercrime,899,8
unfair dismissal,sedition,901,5
theft,Property dispute,903,10
cybercrime,marriage affairs,905,7
sedition,Divorce,907,5
Property dispute,Fraud,909,4
Fraud,riots,911,12
riots,claims of negligence,913,12
marriage affairs,dowry demands,915,11
Divorce,robbery,917,12
claims of negligence,unfair dismissal,919,11
appeal against HR,discrimination,921,14
Workplace harassment,appeal against HR,923,14
Murder,Workplace harassment,925,5
robbery,Murder,927,3
dowry demands,theft,929,6
robbery,cybercrime,931,10
unfair dismissal,sedition,933,5
theft,Property dispute,935,3
cybercrime,marriage affairs,937,14
sedition,Divorce,939,6
Property dispute,Fraud,941,5
Fraud,riots,943,3
riots,claims of negligence,945,10
marriage affairs,dowry demands,947,3
Divorce,robbery,949,14
claims of negligence,unfair dismissal,951,4
appeal against HR,discrimination,953,14
Workplace harassment,appeal against HR,955,5
Murder,Workplace harassment,957,5
robbery,Murder,959,12
dowry demands,theft,961,10
robbery,cybercrime,963,4
unfair dismissal,sedition,965,3
theft,Property dispute,967,6
cybercrime,marriage affairs,969,4
sedition,Divorce,971,14
Property dispute,Fraud,973,15
Fraud,riots,975,3
riots,claims of negligence,977,13
marriage affairs,dowry demands,979,5
Divorce,robbery,981,6
claims of negligence,unfair dismissal,983,11
appeal against HR,discrimination,985,7
Workplace harassment,appeal against HR,987,3
Murder,Workplace harassment,989,7
robbery,Murder,991,13
dowry demands,theft,993,3
robbery,cybercrime,995,3
unfair dismissal,sedition,997,5
theft,Property dispute,999,15
cybercrime,marriage affairs,1001,9
sedition,Divorce,1003,5
Property dispute,Fraud,1005,15
Fraud,riots,1007,4
riots,claims of negligence,1009,9
marriage affairs,dowry demands,1011,15
Divorce,robbery,1013,10
claims of negligence,unfair dismissal,1015,8
appeal against HR,discrimination,1017,5
Workplace harassment,appeal against HR,1019,11
Murder,Workplace harassment,1021,7
robbery,Murder,1023,10
dowry demands,theft,1025,4
robbery,cybercrime,1027,8
unfair dismissal,sedition,1029,14
theft,Property dispute,1031,5
cybercrime,marriage affairs,1033,4
sedition,Divorce,1035,15
Property dispute,Fraud,1037,3
Fraud,riots,1039,6
riots,claims of negligence,1041,4
marriage affairs,dowry demands,1043,11
Divorce,robbery,1045,3
claims of negligence,unfair dismissal,1047,9
appeal against HR,discrimination,1049,11
Workplace harassment,appeal against HR,1051,14
Murder,Workplace harassment,1053,13
robbery,Murder,1055,3
dowry demands,theft,1057,10
robbery,cybercrime,1059,15
unfair dismissal,sedition,1061,5
theft,Property dispute,1063,11
cybercrime,marriage affairs,1065,4
sedition,Divorce,1067,10
Property dispute,Fraud,1069,9
Fraud,riots,1071,14
riots,claims of negligence,1073,10
marriage affairs,dowry demands,1075,9
Divorce,robbery,1077,7
claims of negligence,unfair dismissal,1079,14
appeal against HR,discrimination,1081,14
Workplace harassment,appeal against HR,1083,3
Murder,Workplace harassment,1085,12
robbery,Murder,1087,14
dowry demands,theft,1089,13
robbery,cybercrime,1091,10
unfair dismissal,sedition,1093,8
theft,Property dispute,1095,8
cybercrime,marriage affairs,1097,12
sedition,Divorce,1099,9
Property dispute,Fraud,1101,12
Fraud,riots,1103,10
riots,claims of negligence,1105,6
marriage affairs,dowry demands,1107,5
Divorce,robbery,1109,5
claims of negligence,unfair dismissal,1111,14
appeal against HR,discrimination,1113,9
Workplace harassment,appeal against HR,1115,15
Murder,Workplace harassment,1117,14
robbery,Murder,1119,5
dowry demands,theft,1121,9
robbery,cybercrime,1123,12
unfair dismissal,sedition,1125,3
theft,Property dispute,1127,15
cybercrime,marriage affairs,1129,7
sedition,Divorce,1131,8
Property dispute,Fraud,1133,5
Fraud,riots,1135,11
riots,claims of negligence,1137,8
marriage affairs,dowry demands,1139,8
Divorce,robbery,1141,3
claims of negligence,unfair dismissal,1143,13
appeal against HR,discrimination,1145,7
Workplace harassment,appeal against HR,1147,6
Murder,Workplace harassment,1149,14
robbery,Murder,1151,3
dowry demands,theft,1153,5
robbery,cybercrime,1155,8
unfair dismissal,sedition,1157,7
theft,Property dispute,1159,13
cybercrime,marriage affairs,1161,9
sedition,Divorce,1163,15
Property dispute,Fraud,1165,7
Fraud,riots,1167,4
riots,claims of negligence,1169,5
marriage affairs,dowry demands,1171,6
Divorce,robbery,1173,7
claims of negligence,unfair dismissal,1175,4
appeal against HR,discrimination,1177,4
Workplace harassment,appeal against HR,1179,3
Murder,Workplace harassment,1181,15
robbery,Murder,1183,4
dowry demands,theft,1185,9
robbery,cybercrime,1187,7
unfair dismissal,sedition,1189,11
theft,Property dispute,1191,11
cybercrime,marriage affairs,1193,4
sedition,Divorce,1195,12
Property dispute,Fraud,1197,8
Fraud,riots,1199,14
riots,claims of negligence,1201,12
marriage affairs,dowry demands,1203,12
Divorce,robbery,1205,5
claims of negligence,unfair dismissal,1207,11
appeal against HR,discrimination,1209,10
Workplace harassment,appeal against HR,1211,12
Murder,Workplace harassment,1213,3
robbery,Murder,1215,11
dowry demands,theft,1217,6
robbery,cybercrime,1219,7
unfair dismissal,sedition,1221,10
theft,Property dispute,1223,7
cybercrime,marriage affairs,1225,14
sedition,Divorce,1227,11
Property dispute,Fraud,1229,3
Fraud,riots,1231,11
riots,claims of negligence,1233,8
marriage affairs,dowry demands,1235,8
Divorce,robbery,1237,13
claims of negligence,unfair dismissal,1239,5
appeal against HR,discrimination,1241,8
Workplace harassment,appeal against HR,1243,9
Murder,Workplace harassment,1245,13
robbery,Murder,1247,15
dowry demands,theft,1249,10
robbery,cybercrime,1251,11
unfair dismissal,sedition,1253,15
theft,Property dispute,1255,10
cybercrime,marriage affairs,1257,6
sedition,Divorce,1259,7
Property dispute,Fraud,1261,10
Fraud,riots,1263,8
riots,claims of negligence,1265,4
marriage affairs,dowry demands,1267,14
Divorce,robbery,1269,7
claims of negligence,unfair dismissal,1271,8
appeal against HR,discrimination,1273,15
Workplace harassment,appeal against HR,1275,4
Murder,Workplace harassment,1277,6
robbery,Murder,1279,8
dowry demands,theft,1281,11
robbery,cybercrime,1283,14
unfair dismissal,sedition,1285,11
theft,Property dispute,1287,11
cybercrime,marriage affairs,1289,8
sedition,Divorce,1291,5
Property dispute,Fraud,1293,4
Fraud,riots,1295,13
riots,claims of negligence,1297,13
marriage affairs,dowry demands,1299,6
Divorce,robbery,1301,5
claims of negligence,unfair dismissal,1303,12
appeal against HR,discrimination,1305,10
Workplace harassment,appeal against HR,1307,15
Murder,Workplace harassment,1309,14
robbery,Murder,1311,7
dowry demands,theft,1313,7
robbery,cybercrime,1315,15
unfair dismissal,sedition,1317,4
theft,Property dispute,1319,9
cybercrime,marriage affairs,1321,4
sedition,Divorce,1323,8
Property dispute,Fraud,1325,5
Fraud,riots,1327,5
riots,claims of negligence,1329,10
marriage affairs,dowry demands,1331,11
Divorce,robbery,1333,7
claims of negligence,unfair dismissal,1335,12
appeal against HR,discrimination,1337,13
Workplace harassment,appeal against HR,1339,9
Murder,Workplace harassment,1341,5
robbery,Murder,1343,4
dowry demands,theft,1345,14
robbery,cybercrime,1347,11
unfair dismissal,sedition,1349,6
theft,Property dispute,1351,14
cybercrime,marriage affairs,1353,10
sedition,Divorce,1355,6
Property dispute,Fraud,1357,13
Fraud,riots,1359,7
riots,claims of negligence,1361,5
marriage affairs,dowry demands,1363,10
Divorce,robbery,1365,11
claims of negligence,unfair dismissal,1367,7
appeal against HR,discrimination,1369,9
Workplace harassment,appeal against HR,1371,5
Murder,Workplace harassment,1373,12
robbery,Murder,1375,10
dowry demands,theft,1377,4
robbery,cybercrime,1379,8
unfair dismissal,sedition,1381,4
theft,Property dispute,1383,4
cybercrime,marriage affairs,1385,12
sedition,Divorce,1387,7
Property dispute,Fraud,1389,9
Fraud,riots,1391,4
riots,claims of negligence,1393,14
marriage affairs,dowry demands,1395,12
Divorce,robbery,1397,6
claims of negligence,unfair dismissal,1399,4
appeal against HR,discrimination,1401,11
Workplace harassment,appeal against HR,1403,4
Murder,Workplace harassment,1405,5
robbery,Murder,1407,15
dowry demands,theft,1409,12
robbery,cybercrime,1411,11
unfair dismissal,sedition,1413,4
theft,Property dispute,1415,5
cybercrime,marriage affairs,1417,8
sedition,Divorce,1419,14
Property dispute,Fraud,1421,8
Fraud,riots,1423,14
riots,claims of negligence,1425,15
marriage affairs,dowry demands,1427,12
Divorce,robbery,1429,3
claims of negligence,unfair dismissal,1431,8
appeal against HR,discrimination,1433,4
Workplace harassment,appeal against HR,1435,10
Murder,Workplace harassment,1437,7
robbery,Murder,1439,11
dowry demands,theft,1441,15
robbery,cybercrime,1443,6
unfair dismissal,sedition,1445,5
theft,Property dispute,1447,6
cybercrime,marriage affairs,1449,11
sedition,Divorce,1451,5
Property dispute,Fraud,1453,10
Fraud,riots,1455,14
riots,claims of negligence,1457,5
marriage affairs,dowry demands,1459,4
Divorce,robbery,1461,11
claims of negligence,unfair dismissal,1463,12
appeal against HR,discrimination,1465,11
Workplace harassment,appeal against HR,1467,14
Murder,Workplace harassment,1469,11
robbery,Murder,1471,4
dowry demands,theft,1473,13
robbery,cybercrime,1475,14
unfair dismissal,sedition,1477,12
theft,Property dispute,1479,5
cybercrime,marriage affairs,1481,5
sedition,Divorce,1483,10
Property dispute,Fraud,1485,9
Fraud,riots,1487,15
riots,claims of negligence,1489,9
marriage affairs,dowry demands,1491,6
Divorce,robbery,1493,6
claims of negligence,unfair dismissal,1495,9
appeal against HR,discrimination,1497,15
Workplace harassment,appeal against HR,1499,7
Murder,Workplace harassment,1501,3
robbery,Murder,1503,10
dowry demands,theft,1505,7
robbery,cybercrime,1507,5
unfair dismissal,sedition,1509,15
theft,Property dispute,1511,6
cybercrime,marriage affairs,1513,5
sedition,Divorce,1515,15
Property dispute,Fraud,1517,3
Fraud,riots,1519,14
riots,claims of negligence,1521,10
marriage affairs,dowry demands,1523,7
Divorce,robbery,1525,15
claims of negligence,unfair dismissal,1527,11
appeal against HR,discrimination,1529,3
Workplace harassment,appeal against HR,1531,13
Murder,Workplace harassment,1533,15
robbery,Murder,1535,13
dowry demands,theft,1537,12
robbery,cybercrime,1539,12
unfair dismissal,sedition,1541,7
theft,Property dispute,1543,7
cybercrime,marriage affairs,1545,3
sedition,Divorce,1547,12
Property dispute,Fraud,1549,5
Fraud,riots,1551,11
riots,claims of negligence,1553,8
marriage affairs,dowry demands,1555,6
Divorce,robbery,1557,10
claims of negligence,unfair dismissal,1559,9
appeal against HR,discrimination,1561,7
Workplace harassment,appeal against HR,1563,4
Murder,Workplace harassment,1565,14
robbery,Murder,1567,10
dowry demands,theft,1569,13
robbery,cybercrime,1571,10
unfair dismissal,sedition,1573,8
theft,Property dispute,1575,11
cybercrime,marriage affairs,1577,8
sedition,Divorce,1579,10
Property dispute,Fraud,1581,10
Fraud,riots,1583,6
riots,claims of negligence,1585,9
marriage affairs,dowry demands,1587,11
Divorce,robbery,1589,5
claims of negligence,unfair dismissal,1591,3
appeal against HR,discrimination,1593,5
Workplace harassment,appeal against HR,1595,13
Murder,Workplace harassment,1597,3
robbery,Murder,1599,9
dowry demands,theft,1601,9
robbery,cybercrime,1603,15
unfair dismissal,sedition,1605,7
theft,Property dispute,1607,10
cybercrime,marriage affairs,1609,14
sedition,Divorce,1611,5
Property dispute,Fraud,1613,7
Fraud,riots,1615,5
riots,claims of negligence,1617,8
marriage affairs,dowry demands,1619,15
Divorce,robbery,1621,15
claims of negligence,unfair dismissal,1623,12
appeal against HR,discrimination,1625,6
Workplace harassment,appeal against HR,1627,9
Murder,Workplace harassment,1629,12
robbery,Murder,1631,8
dowry demands,theft,1633,7
robbery,cybercrime,1635,12
unfair dismissal,sedition,1637,7
theft,Property dispute,1639,13
cybercrime,marriage affairs,1641,5
sedition,Divorce,1643,7
Property dispute,Fraud,1645,14
Fraud,riots,1647,15
riots,claims of negligence,1649,13
marriage affairs,dowry demands,1651,8
Divorce,robbery,1653,13
claims of negligence,unfair dismissal,1655,3
appeal against HR,discrimination,1657,12
Workplace harassment,appeal against HR,1659,10
Murder,Workplace harassment,1661,10
robbery,Murder,1663,7
dowry demands,theft,1665,5
robbery,cybercrime,1667,8
unfair dismissal,sedition,1669,14
theft,Property dispute,1671,8
cybercrime,marriage affairs,1673,3
sedition,Divorce,1675,15
Property dispute,Fraud,1677,14
Fraud,riots,1679,10
riots,claims of negligence,1681,5
marriage affairs,dowry demands,1683,6
Divorce,robbery,1685,4
claims of negligence,unfair dismissal,1687,6
appeal against HR,discrimination,1689,3
Workplace harassment,appeal against HR,1691,3
Murder,Workplace harassment,1693,8
robbery,Murder,1695,9
dowry demands,theft,1697,8
robbery,cybercrime,1699,3
unfair dismissal,sedition,1701,13
theft,Property dispute,1703,9
cybercrime,marriage affairs,1705,7
sedition,Divorce,1707,10
Property dispute,Fraud,1709,8
Fraud,riots,1711,15
riots,claims of negligence,1713,11
marriage affairs,dowry demands,1715,3
Divorce,robbery,1717,3
claims of negligence,unfair dismissal,1719,11
appeal against HR,discrimination,1721,15
Workplace harassment,appeal against HR,1723,12
Murder,Workplace harassment,1725,10
robbery,Murder,1727,4
dowry demands,theft,1729,15
robbery,cybercrime,1731,9
unfair dismissal,sedition,1733,5
theft,Property dispute,1735,6
cybercrime,marriage affairs,1737,14
sedition,Divorce,1739,12
Property dispute,Fraud,1741,8
Fraud,riots,1743,10
riots,claims of negligence,1745,13
marriage affairs,dowry demands,1747,3
Divorce,robbery,1749,13
claims of negligence,unfair dismissal,1751,11
appeal against HR,discrimination,1753,14
Workplace harassment,appeal against HR,1755,6
Murder,Workplace harassment,1757,6
robbery,Murder,1759,4
dowry demands,theft,1761,3
robbery,cybercrime,1763,10
unfair dismissal,sedition,1765,10
theft,Property dispute,1767,7
cybercrime,marriage affairs,1769,5
sedition,Divorce,1771,15
Property dispute,Fraud,1773,11
Fraud,riots,1775,4
riots,claims of negligence,1777,5
marriage affairs,dowry demands,1779,3
Divorce,robbery,1781,7
claims of negligence,unfair dismissal,1783,12
appeal against HR,discrimination,1785,14
Workplace harassment,appeal against HR,1787,14
Murder,Workplace harassment,1789,4
robbery,Murder,1791,4
dowry demands,theft,1793,13
robbery,cybercrime,1795,7
unfair dismissal,sedition,1797,3
theft,Property dispute,1799,10
cybercrime,marriage affairs,1801,15
sedition,Divorce,1803,5
Property dispute,Fraud,1805,11
Fraud,riots,1807,4
riots,claims of negligence,1809,13
marriage affairs,dowry demands,1811,3
Divorce,robbery,1813,15
claims of negligence,unfair dismissal,1815,7
appeal against HR,discrimination,1817,4
Workplace harassment,appeal against HR,1819,6
Murder,Workplace harassment,1821,9
robbery,Murder,1823,3
dowry demands,theft,1825,6
robbery,cybercrime,1827,14
unfair dismissal,sedition,1829,4
theft,Property dispute,1831,7
cybercrime,marriage affairs,1833,14
sedition,Divorce,1835,13
Property dispute,Fraud,1837,12
Fraud,riots,1839,13
riots,claims of negligence,1841,5
marriage affairs,dowry demands,1843,8
Divorce,robbery,1845,6
claims of negligence,unfair dismissal,1847,4
appeal against HR,discrimination,1849,4
Workplace harassment,appeal against HR,1851,12
Murder,Workplace harassment,1853,8
